"","RouteDataID","CountryNum","StateNum","Route","RouteName","Latitude","Longitude","NCar","Noise","BirdCount"
"55",6366470,840,17,205,"GROVER",40.8566157,-104.5420149,8,0,1
"56",6364492,840,17,206,"STONEHAM",40.5807997,-103.6580889,1,0,1
"57",6366592,840,17,213,"LIMON",39.373985,-103.7867237,5,0,2
"58",6366872,840,17,425,"MESITA",37.0988956,-105.5210119,3,0,1
"59",6366591,840,17,48,"GUFFEY",38.982811,-105.5746738,31,0,1
"60",6363811,840,18,116,"GRANBY",41.8805267,-72.9557559,147,10,1
"61",6366461,840,2,142,"ELBERTA",30.370222,-87.6024375,100,1,2
"62",6366465,840,2,218,"BAY MINETTE",30.803493,-87.6374375,126,2,2
"63",6363853,840,2,30,"NEWTON",31.3388298,-85.5895835,81,8,4
"64",6364635,840,2,46,"GUNTERSVILLE",34.3142387,-86.4773569,348,4,1
"65",6364439,840,2,54,"FAIRVIEW",31.2223969,-86.0994295,101,3,32
"66",6365731,840,2,71,"WHEELER DAM",34.7961251,-87.3837235,105,0,2
"67",6364490,840,21,105,"BLACKBIRD",39.3705837,-75.6392639,15,0,3
"68",6363824,840,25,10,"COVINGTON",30.2734632,-83.8569684,37,0,1
"69",6364936,840,25,138,"Doctors Inlet 2",30.0999167,-81.806917,615,0,3
"70",6364645,840,25,171,"SANDY 2",27.2920427,-82.0563269,41,0,1
"71",6365823,840,25,178,"REDLANDS",25.618989,-80.4147339,443,2,14
"72",6363761,840,25,28,"PINECREST",25.7510497,-80.9676799,9,0,10
"73",6364636,840,25,66,"NOBLETON",28.6471072,-82.1719367,135,0,2
"74",6363724,840,25,67,"PENNYWASH CR",28.1011187,-80.8980039,88,0,15
"75",6364066,840,25,79,"HOMESTEAD",25.4912637,-80.5425082,67,0,11
"76",6363764,840,25,82,"PALMDALE",26.8751997,-81.3585199,336,0,1
"77",6366888,840,25,86,"ALVA",26.9459847,-81.7610009,408,14,1
"78",6364639,840,25,905,"CROOM",28.5817572,-82.1873953,58,1,7
"79",6364297,840,25,922,"CHASSAHOWITZ",28.6793707,-82.5663679,4,1,7
"80",6366141,840,27,102,"FOLKSTON",30.741228,-82.071315,73,0,1
"81",6363845,840,27,123,"WHITESBURG",33.6361338,-84.8855164,229,10,2
"82",6365135,840,27,16,"CREST",32.9365857,-84.4948117,3,4,6
"83",6365586,840,27,36,"BOWDON",33.5381995,-85.2533567,67,0,1
"84",6365737,840,3,433,"ANVIK RIVER",62.9209173,-160.6919837,0,0,1
"85",6366604,840,3,55,"TONSINA",61.6605217,-145.1834259,76,0,1
"86",6364856,840,3,903,"KUSKULANA",61.5260959,-144.4072212,3,1,1
"87",6364694,840,33,904,"CIRCULAR BU",43.5602019,-112.8721588,5,0,1
"88",6363857,840,34,1,"GUILFORD",42.2101956,-90.0603721,9,2,2
"89",6365313,840,34,16,"NEWARK",41.530722,-88.5743214,138,1,1
"90",6364418,840,34,17,"SHERBURNVILL",41.2187664,-87.5816027,272,12,1
"91",6364265,840,34,25,"BARTONVILLE",40.6004653,-89.6657014,74,1,1
"92",6364230,840,34,3,"HOLCOMB",42.0711057,-89.0756312,61,3,6
"93",6363820,840,34,46,"BRADBURY",39.3149204,-88.195176,11,2,2
"94",6365713,840,34,56,"OLNEY",38.70688,-88.1676148,0,0,34
"95",6364892,840,34,8,"GENESEO",41.4846401,-90.217325,41,1,1
"96",6364232,840,35,10,"FOWLER",40.6790779,-87.3633993,40,4,10
"97",6364565,840,35,24,"FRIENDSWOOD",39.6400767,-86.2882699,107,1,1
"98",6364182,840,35,303,"LAGRANGE",41.750602,-85.4765733,36,1,1
"99",6365987,840,35,311,"NEW CASTLE",39.9464269,-85.0906911,0,0,1
"100",6365427,840,35,6,"MIDDLEBURY",41.7259077,-85.6760109,68,0,1
"101",6366183,840,36,10,"WILLIAMSBURG",41.6735997,-92.2602299,0,0,1
"102",6369246,840,38,15,"BARCLAY",38.5354618,-95.8576087,11,0,1
"103",6365734,840,38,22,"GRAY",38.2040337,-99.6617889,30,7,7
"104",6366373,840,38,316,"Leoti",38.1914654,-101.3590971,0,0,4
"105",6367211,840,42,17,"SHAW",31.1887275,-91.6715765,58,0,1
"106",6364019,840,42,207,"Sabine NWR 2",29.8912193,-93.401584,33,0,10
"107",6366693,840,42,30,"GLENCOE",29.7156229,-91.8769586,102,5,2
"108",6364219,840,42,308,"WOODLAWN",30.2754072,-92.962092,3,0,13
"109",6366184,840,42,906,"BATON ROUGE",30.4157544,-91.1801812,105,8,1
"110",6366728,840,44,13,"HARTFORD",44.3340297,-70.2908259,0,0,1
"111",6364797,840,44,4,"KITTERY PT",43.0811777,-70.7139509,234,7,4
"112",6365745,840,46,112,"IJAMSVILLE",39.2945828,-77.3066703,324,1,1
"113",6364985,840,46,47,"COKESBURY",38.1651924,-75.5797027,26,4,12
"114",6366464,840,47,19,"CHESTERFIELD",42.3761743,-72.8474923,17,5,1
"115",6365127,840,49,128,"HARRIETTA",44.1177897,-85.8031169,20,2,1
"116",6365611,840,49,64,"OWENDALE",43.7291437,-83.2673559,147,14,2
"117",6366906,840,50,102,"Chatfield 2",43.89763,-92.091025,7,4,21
"118",6365393,840,50,14,"DAWSON",44.9793225,-96.0833142,9,2,2
"119",6366162,840,51,104,"MOON",34.4218377,-90.4983459,61,2,1
"120",6364445,840,51,119,"NECAISE",30.6193407,-89.5109799,19,2,12
"121",6366036,840,51,229,"LATIMER",30.4987757,-88.7992689,41,2,50
"122",6363766,840,51,25,"ABERDEEN",33.8691757,-88.6571809,61,1,1
"123",6366197,840,51,906,"GRENADA LAKE",33.7956097,-89.6124889,54,1,10
"124",6366981,840,52,2,"PULASKI",36.5936897,-90.7479869,38,0,6
"125",6365308,840,52,29,"ROCKINGHAM",39.3300772,-93.8041794,12,9,1
"126",6365995,840,52,35,"TRENTON",40.0903817,-93.5563439,1,1,1
"127",6363866,840,52,54,"HILDA",36.6429207,-92.9744729,1,0,1
"128",6367092,840,52,59,"MARSHFIELD",37.3383177,-92.8345789,39,0,1
"129",6365935,840,52,6,"PINEVILLE",36.5642282,-94.2388636,165,0,1
"130",6364940,840,52,68,"KIRKSVILLE",40.1681387,-92.5154419,16,0,1
"131",6365646,840,52,7,"CP GIRARDEAU",37.3066269,-89.526555,75,0,1
"132",6364002,840,53,131,"Flatwillow 2",46.9022197,-108.3468,7,2,1
"133",6366109,840,53,29,"TWO DOT",46.3295907,-110.0515279,3,0,1
"134",6365985,840,53,4,"HAY LAKE",48.9576837,-112.3253929,27,0,2
"135",6363858,840,54,13,"IRVINGTON",41.34351,-96.08125,48,0,1
"136",6366709,840,54,32,"TABLE",41.1770247,-100.0548479,5,0,1
"137",6363856,840,54,7,"KEARNEY",40.6406757,-98.8760679,25,0,2
"138",6365220,840,55,10,"CORTEZ",40.0802831,-116.5858881,3,0,1
"139",6366894,840,55,103,"CHIMNEY RES.",41.4177434,-117.4503139,3,0,2
"140",6364443,840,55,143,"RUBY VALLEY 2",40.1798727,-115.4929227,7,0,1
"141",6366879,840,55,2,"PIUTE MDWS",41.3171877,-118.9004059,4,0,2
"142",6365902,840,55,33,"NELSON",35.7087118,-114.7110604,20,1,1
"143",6363827,840,55,906,"ASH MEADOWS",36.4907307,-116.3432079,2,0,20
"144",6366382,840,58,11,"WILMOT",43.4568165,-71.8805982,23,2,1
"145",6366043,840,59,19,"KEMAH LAKE",41.1181687,-74.7967659,61,0,1
"146",6363834,840,59,3,"SIX POINTS",39.5314149,-75.1074594,176,1,891
"147",6366802,840,6,107,"PEACH SPRING",35.5541565,-113.3760172,268,1,2
"148",6363733,840,6,121,"CASA GRANDE",33.0385437,-111.3789069,5,3,3
